anio,mineral,etapa,valor_total_usd,destino_principal,share_principal,share_china,share_eua,n_destinos
2001,cobre,E2 Metal en bruto/refinado,292886149.0,Estados Unidos,0.9961,0.0015,0.9961,8
2001,cobre,E3 Semimanufacturas,324181483.0,Estados Unidos,0.9105,0.0005,0.9105,51
2001,cobre,E4 Manufacturas,50060449.0,Estados Unidos,0.954,0.0001,0.954,36
2001,fluorita,E1 Espato fluor (crudo),29491564.0,Canada,0.254,0.0,0.1877,19
2001,fluorita,E2 Fluoroquimica,98878508.0,Estados Unidos,0.8111,0.0,0.8111,13
2001,grafito,E1 Grafito natural,2331722.0,Estados Unidos,0.8384,0.0,0.8384,6
2001,grafito,E2 Grafito artificial/prep.,15626905.0,Estados Unidos,0.4887,0.0,0.4887,14
2001,grafito,E3 Electrodos/articulos de carbono,51324785.0,Estados Unidos,0.8045,0.0021,0.8045,27
2001,manganeso,E1 Mena/concentrado,1983995.0,Estados Unidos,0.34,0.0,0.34,17
2001,manganeso,E2 Ferroaleaciones,28958764.0,Estados Unidos,0.7007,0.0,0.7007,18
2001,manganeso,E3 Quimicos/metal,2827867.0,Paises Bajos,0.2805,0.0,0.2755,13
2001,oro,E2 Bruto/semilabrado,54645214.0,Estados Unidos,0.7042,0.0,0.7042,4
2001,oro-plata (manufacturas),E4 Joyeria/orfebreria,324190068.0,Estados Unidos,0.9529,0.0001,0.9529,63
2001,plata,E2 Bruto/semilabrado,357431843.0,Estados Unidos,0.6153,0.0,0.6153,18
